ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9003885,HW151233,02/10/2013 08:00:00 AM,019XX N LA CROSSE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2533,025,31,19,14,1143698,1912789,2013,02/12/2013 12:42:09 AM,41.916724847736646,-87.74748793857579,"(41.916724847736646, -87.74748793857579)"
8988456,HW135917,01/28/2013 03:00:00 PM,028XX N PULASKI RD,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,2523,025,31,21,03,1149200,1918347,2013,02/07/2013 12:41:54 AM,41.931871590279016,-87.72712915160301,"(41.931871590279016, -87.72712915160301)"
8970991,HW118845,01/15/2013 09:55:00 PM,074XX S PAXTON AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,true,0333,,7,43,26,,,2013,01/26/2013 12:39:36 AM,,,
8957787,HW107273,01/02/2013 02:30:00 AM,080XX S CARPENTER ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0612,006,21,71,14,,,2013,01/30/2013 12:40:28 AM,,,
8937850,HV609553,12/19/2012 09:30:00 AM,0000X S STATE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,false,false,0112,001,42,32,11,1176422,1900355,2012,12/23/2012 12:41:46 AM,41.881929007770445,-87.6276369271367,"(41.881929007770445, -87.6276369271367)"
8920808,HV592639,12/07/2012 10:30:00 AM,0000X W ADAMS ST,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,0112,001,42,32,06,1176232,1899490,2012,12/09/2012 12:40:47 AM,41.87955968328273,-87.62836068737653,"(41.87955968328273, -87.62836068737653)"
9018121,HW165098,11/26/2012 12:01:00 AM,020XX W 79TH ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),false,false,0611,006,18,71,11,1164366,1852305,2012,02/24/2013 12:41:37 AM,41.750337856054685,-87.67326149896094,"(41.750337856054685, -87.67326149896094)"
8887660,HV561869,11/14/2012 09:32:00 AM,051XX W NEWPORT AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1634,016,38,15,26,1141636,1922415,2012,12/23/2012 12:41:46 AM,41.943177973995574,-87.75482516172092,"(41.943177973995574, -87.75482516172092)"
8872171,HV545456,11/02/2012 03:45:00 PM,046XX S COTTAGE GROVE AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,CURRENCY EXCHANGE,false,false,0221,002,4,38,10,1182337,1874270,2012,11/06/2012 12:41:15 AM,41.81021465902122,-87.60672784555994,"(41.81021465902122, -87.60672784555994)"
8855937,HV529602,10/22/2012 01:30:00 PM,078XX S CORNELL AVE,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,false,false,0414,004,8,43,07,1188635,1853414,2012,10/25/2012 12:41:06 AM,41.75283572852257,-87.5842943059208,"(41.75283572852257, -87.5842943059208)"
8848487,HV517952,10/11/2012 01:00:00 PM,008XX W FULLERTON AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,1932,019,43,7,06,1170249,1916200,2012,10/19/2012 12:41:29 AM,41.92554567544548,-87.64984033568568,"(41.92554567544548, -87.64984033568568)"
8824861,HV498097,09/30/2012 04:10:00 AM,041XX W 51ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,0815,008,23,57,14,1149860,1870443,2012,10/23/2012 12:45:45 AM,41.8004045449854,-87.72594925855037,"(41.8004045449854, -87.72594925855037)"
8812722,HV483762,09/19/2012 09:00:00 AM,054XX W IRVING PARK RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1624,016,38,15,07,1139386,1926103,2012,09/28/2012 12:40:56 AM,41.953339574878,-87.7630049520352,"(41.953339574878, -87.7630049520352)"
8792852,HV466511,09/08/2012 08:15:00 AM,054XX S ASHLAND AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,0932,009,16,61,06,1166552,1868840,2012,09/11/2012 12:43:24 AM,41.795665748470896,-87.66477995721165,"(41.795665748470896, -87.66477995721165)"
8777212,HV451522,08/28/2012 08:00:00 PM,076XX S WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0623,006,6,69,07,1178077,1854426,2012,09/02/2012 12:40:39 AM,41.75585849573287,-87.6229541574028,"(41.75585849573287, -87.6229541574028)"
8761061,HV435759,08/18/2012 09:00:00 AM,066XX S CALIFORNIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0831,008,15,66,08B,1158809,1860686,2012,08/27/2012 12:41:33 AM,41.77345176776437,-87.69339654067383,"(41.77345176776437, -87.69339654067383)"
8744916,HV420363,08/07/2012 08:15:00 PM,021XX E 71ST ST,0460,BATTERY,SIMPLE,OTHER,true,false,0333,003,5,43,08B,1191476,1858232,2012,08/10/2012 12:40:00 AM,41.76598837129576,-87.5737274586386,"(41.76598837129576, -87.5737274586386)"
8728664,HV404868,07/28/2012 07:30:00 PM,101XX S INDIANA AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,0511,005,9,49,03,1179341,1837448,2012,08/29/2012 12:44:06 AM,41.709240048026295,-87.61883843151004,"(41.709240048026295, -87.61883843151004)"
8715219,HV391598,07/18/2012 07:30:00 PM,025XX S ARCHER AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,0913,009,11,60,06,1171338,1887670,2012,07/22/2012 12:40:18 AM,41.84723360862892,-87.64667770097672,"(41.84723360862892, -87.64667770097672)"
8733497,HV409446,07/09/2012 06:00:00 AM,036XX S IRON ST,0820,THEFT,$500 AND UNDER,OTHER,false,false,0912,009,11,59,06,1167908,1880755,2012,08/03/2012 12:38:56 AM,41.82833275360613,-87.65946483493055,"(41.82833275360613, -87.65946483493055)"
8693579,HV070049,06/29/2012 06:00:00 PM,005XX W CERMAK RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1233,012,25,31,14,1172969,1889736,2012,07/09/2012 12:38:30 AM,41.852866934756676,-87.64063081695667,"(41.852866934756676, -87.64063081695667)"
8668152,HV343474,06/20/2012 01:13:00 AM,001XX W DIVISION ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,1821,018,43,8,08B,1174535,1908369,2012,06/22/2012 12:38:51 AM,41.9039622354219,-87.63432615511674,"(41.9039622354219, -87.63432615511674)"
8652055,HV327677,06/10/2012 11:55:00 AM,0000X W WASHINGTON ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,0112,001,42,32,08B,1176312,1900784,2012,06/13/2012 12:41:21 AM,41.88310868931746,-87.62802789453065,"(41.88310868931746, -87.62802789453065)"
8660939,HV335759,05/31/2012 02:08:00 PM,002XX S WABASH AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,false,false,0113,001,42,32,26,1176809,1899225,2012,06/21/2012 12:40:08 AM,41.8788194829152,-87.62625007110775,"(41.8788194829152, -87.62625007110775)"
8622665,HV296361,05/21/2012 12:30:00 PM,082XX S SOUTH SHORE DR,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,false,false,0424,004,7,46,04A,1198547,1850696,2012,06/06/2012 12:39:07 AM,41.745134801064836,-87.54806249270007,"(41.745134801064836, -87.54806249270007)"
